Latitude,Longitude
44.93,-75.07
44.98,-74.98
44.98,-74.92
45.02,-74.83
45,-74.75
45,-74.25
45.02,-73.35
45.02,-71.5
45.08,-71.5
45.12,-71.43
45.2,-71.4
45.25,-71.43
45.25,-71.38
45.28,-71.35
45.3,-71.28
45.25,-71.18
45.25,-71.13
45.28,-71.12
45.3,-71.08
45.3,-71.1
45.32,-71.03
45.35,-71.02
45.35,-70.97
45.3,-70.92
45.23,-70.88
45.3,-70.83
45.32,-70.82
45.42,-70.82
45.43,-70.8
45.43,-70.73
45.4,-70.68
45.4,-70.65
45.43,-70.63
45.5,-70.72
45.57,-70.7
45.67,-70.57
45.72,-70.47
45.72,-70.42
45.75,-70.38
45.82,-70.4
45.92,-70.25
45.95,-70.23
45.98,-70.32
46.03,-70.3
46.07,-70.28
46.08,-70.3
46.1,-70.25
46.15,-70.23
46.2,-70.28
46.28,-70.23
46.32,-70.2
46.35,-70.2
46.37,-70.15
46.43,-70.05
46.7,-70.02
47.47,-69.23
47.43,-69.05
47.27,-69.05
47.18,-68.9
47.23,-68.75
47.25,-68.65
47.28,-68.57
47.3,-68.5
47.28,-68.43
47.3,-68.38
47.33,-68.38
47.37,-68.32
47.33,-68.18
47.3,-68.15
47.2,-67.97
47.12,-67.88
47.07,-67.8
45.95,-67.77
45.93,-67.75
45.88,-67.78
45.83,-67.75
45.78,-67.8
45.7,-67.8
45.67,-67.73
45.68,-67.72
45.63,-67.65
45.6,-67.52
45.62,-67.47
45.58,-67.42
45.53,-67.42
45.5,-67.48
45.43,-67.47
45.4,-67.42
45.27,-67.47
45.2,-67.4
45.15,-67.33
45.17,-67.3
45.2,-67.27
45.18,-67.2
45.18,-67.2
45.17,-67.2
45.17,-67.17
45.08,-67.1
45.07,-67.1
44.98,-67.03
44.93,-67.07
44.97,-67.1
44.95,-67.12
44.92,-67.1
44.9,-67.12
44.93,-67.18
44.92,-67.2
44.88,-67.15
44.83,-67.13
44.88,-67.13
44.87,-67.1
44.9,-67.1
44.87,-67.05
44.83,-67.07
44.85,-67.03
44.92,-67.05
44.87,-67
44.87,-66.98
44.83,-66.97
44.78,-67.03
44.78,-67.07
44.77,-67.07
44.75,-67.1
44.72,-67.1
44.67,-67.2
44.67,-67.18
44.67,-67.23
44.68,-67.25
44.67,-67.27
44.65,-67.25
44.65,-67.27
44.67,-67.32
44.72,-67.3
44.72,-67.35
44.7,-67.35
44.72,-67.38
44.7,-67.38
44.68,-67.37
44.65,-67.37
44.63,-67.35
44.63,-67.38
44.62,-67.4
44.68,-67.43
44.68,-67.45
44.62,-67.43
44.62,-67.5
44.65,-67.5
44.63,-67.52
44.67,-67.53
44.67,-67.55
44.65,-67.55
44.63,-67.58
44.63,-67.55
44.55,-67.57
44.55,-67.63
44.57,-67.63
44.58,-67.65
44.55,-67.68
44.52,-67.7
44.52,-67.73
44.62,-67.73
44.55,-67.77
44.55,-67.8
44.6,-67.77
44.62,-67.78
44.58,-67.8
44.6,-67.83
44.55,-67.85
44.57,-67.87
44.5,-67.83
44.5,-67.88
44.42,-67.9
44.43,-67.92
44.5,-67.9
44.5,-67.92
44.43,-67.93
44.43,-67.95
44.52,-67.97
44.48,-67.98
44.48,-68.02
44.47,-68.02
44.45,-67.98
44.42,-67.97
44.4,-67.98
44.42,-68.02
44.4,-68.02
44.35,-68.05
44.37,-68.07
44.38,-68.07
44.4,-68.08
44.42,-68.1
44.47,-68.1
44.48,-68.1
44.52,-68.15
44.47,-68.15
44.48,-68.18
44.53,-68.18
44.53,-68.2
44.48,-68.22
44.5,-68.25
44.53,-68.25
44.53,-68.3
44.52,-68.3
44.52,-68.27
44.47,-68.27
44.47,-68.35
44.43,-68.38
44.42,-68.38
44.42,-68.42
44.5,-68.42
44.5,-68.47
44.48,-68.45
44.4,-68.45
44.4,-68.47
44.45,-68.47
44.42,-68.52
44.43,-68.57
44.38,-68.53
44.32,-68.55
44.32,-68.52
44.28,-68.52
44.28,-68.53
44.27,-68.52
44.25,-68.52
44.3,-68.62
44.32,-68.68
44.37,-68.73
44.33,-68.78
44.33,-68.82
44.38,-68.78
44.38,-68.75
44.4,-68.75
44.42,-68.75
44.42,-68.68
44.45,-68.72
44.45,-68.72
44.45,-68.75
44.4,-68.8
44.43,-68.8
44.57,-68.73
44.58,-68.8
44.48,-68.82
44.47,-68.83
44.47,-68.85
44.5,-68.85
44.48,-68.88
44.45,-68.92
44.43,-68.98
44.35,-68.93
44.3,-69
44.22,-69.05
44.1,-69.08
44.1,-69.05
44.07,-69.07
44.05,-69.12
44.02,-69.12
44,-69.18
43.98,-69.2
43.97,-69.18
43.93,-69.25
43.97,-69.27
44.02,-69.22
44.02,-69.23
43.95,-69.3
44,-69.3
43.98,-69.37
44.02,-69.33
44.03,-69.37
44.07,-69.35
44.07,-69.37
44.05,-69.37
44.05,-69.4
44.02,-69.38
44,-69.4
44,-69.42
43.85,-69.5
43.92,-69.53
43.85,-69.55
43.9,-69.57
43.93,-69.55
43.97,-69.57
44.02,-69.52
44.03,-69.53
44.02,-69.55
43.97,-69.58
43.9,-69.58
43.85,-69.57
43.83,-69.58
43.87,-69.58
43.85,-69.6
43.88,-69.67
43.93,-69.65
43.93,-69.62
43.95,-69.65
44,-69.63
44.03,-69.6
44.03,-69.63
44.02,-69.67
43.92,-69.75
43.88,-69.75
43.88,-69.72
43.83,-69.73
43.87,-69.7
43.85,-69.7
43.78,-69.72
43.77,-69.75
43.98,-69.8
44.03,-69.78
44.07,-69.77
44.08,-69.77
44.07,-69.78
44,-69.87
43.97,-69.87
43.98,-69.82
43.75,-69.77
43.72,-69.82
43.75,-69.83
43.77,-69.85
43.8,-69.85
43.85,-69.83
43.85,-69.85
43.88,-69.85
43.88,-69.87
43.87,-69.9
43.85,-69.87
43.8,-69.88
43.8,-69.9
43.8,-69.9
43.82,-69.9
43.8,-69.92
43.73,-69.98
43.85,-69.92
43.87,-69.93
43.85,-69.93
43.75,-70
43.77,-70.02
43.87,-69.95
43.85,-69.98
43.83,-70
43.87,-69.98
43.88,-69.98
43.83,-70.03
43.83,-70.08
43.78,-70.17
43.75,-70.18
43.72,-70.23
43.67,-70.23
43.67,-70.28
43.65,-70.27
43.65,-70.2
43.58,-70.18
43.57,-70.25
43.58,-70.25
43.57,-70.27
