lat,lon,precipitation
37.3208,-79.2067,1.456021978
41.00889,-74.73667,1.459451952
42.9666,-83.7494,1.462873884
29.1828,-81.0483,1.469693846
37.505,-77.3202,1.473091986
38.3,-76.41667,1.473091986
40.2446,-108.9677,1.473091986
44.38139,-106.72111,1.473091986
45.24861,-122.76861,1.473091986
48.2552,-101.2733,1.473091986
45.01333,-84.70139,1.476482306
38.544,-107.6928,1.479864859
45.5644,-84.7927,1.479864859
36.0969,-79.9432,1.483239697
40.31611,-78.83389,1.483239697
34.84611,-82.34611,1.489966443
40.85,-74.06139,1.489966443
34.64389,-86.78611,1.496662955
39.57028,-104.84889,1.496662955
44.3155,-69.7972,1.496662955
44.9288,-89.6277,1.5
32.13,-81.21,1.503329638
40.82056,-76.86417,1.503329638
44.9047,-97.1494,1.503329638
44.2035,-72.5623,1.506651917
38.81,-104.6884,1.509966887
41.50917,-74.265,1.513274595
33.97056,-80.99583,1.516575089
39.23,-106.87056,1.516575089
42.79611,-105.38028,1.516575089
26.16583,-97.34583,1.519868415
35.2326,-75.6219,1.519868415
39.9907,-82.877,1.519868415
42.2313,-83.3308,1.519868415
48.09444,-105.57444,1.519868415
34.8842,-82.2209,1.523154621
43.23889,-123.35472,1.523154621
41.15,-104.8167,1.526433752
47.32583,-106.9475,1.526433752
35.4185,-82.5567,1.529705854
37.7836,-81.123,1.53622915
40.87639,-74.28306,1.53622915
46.41667,-86.65,1.53622915
47.9375,-124.555,1.539480432
35.8181,-83.9858,1.542724862
46.7994,-102.7972,1.542724862
40.79389,-73.10167,1.545962483
42.23333,-83.53333,1.545962483
34.67194,-82.88639,1.549193338
45.6314,-89.4823,1.549193338
46.8369,-92.1833,1.549193338
29.94667,-100.17333,1.555634919
41.61389,-90.59139,1.555634919
41.7857,-73.7422,1.555634919
35.4945,-82.6142,1.562049935
41.46528,-90.52333,1.562049935
41.9381,-72.6825,1.562049935
39.8668,-93.147,1.565247584
34.2851,-85.9621,1.568438714
35.8584,-106.5214,1.568438714
41.843,-88.8513,1.571623365
44.4185,-123.3257,1.571623365
44.57611,-71.17861,1.571623365
42.42722,-73.28917,1.577973384
35.4319,-82.5375,1.58113883
37.2397,-93.3897,1.58113883
39.18944,-103.71583,1.58113883
40.12028,-76.29444,1.58113883
42.3075,-85.25111,1.58113883
42.76111,-87.81361,1.58113883
47.90778,-122.28028,1.58113883
48.2138,-106.6214,1.584297952
42.11056,-92.91611,1.587450787
42.39778,-90.70361,1.587450787
34.12306,-84.84861,1.590597372
37.13194,-76.49306,1.590597372
36.62389,-87.41944,1.593737745
44.8665,-91.4879,1.593737745
46.4794,-84.3572,1.593737745
43.1716,-70.9277,1.596871942
44.33944,-105.54194,1.596871942
46.40472,-94.13083,1.6
34.4535,-87.7104,1.603121954
41.13889,-75.37944,1.603121954
42.7,-73.16667,1.603121954
44.9281,-68.7006,1.603121954
46.9258,-98.6691,1.603121954
40.6306,-93.9008,1.60623784
36.21167,-115.19583,1.609347694
42.5544,-92.4011,1.61245155
36.0138,-85.1345,1.615549442
40.35472,-79.92167,1.618641406
38.30833,-75.12389,1.621727474
38.8169,-92.2183,1.621727474
42.2706,-71.8731,1.621727474
42.89139,-73.24694,1.621727474
41.73611,-72.65056,1.624807681
44.8321,-93.4705,1.624807681
41.1077,-92.4466,1.62788206
42.22278,-83.74444,1.630950643
38.8983,-119.9947,1.637070554
45.77278,-122.86111,1.637070554
30.495,-81.6936,1.640121947
47.64583,-101.43944,1.640121947
31.61667,-91.28333,1.643167673
35.855,-77.89306,1.646207763
39.94917,-74.84167,1.646207763
43.1092,-70.9484,1.646207763
30.51083,-99.76639,1.64924225
38.0945,-84.7465,1.64924225
41.78028,-124.23667,1.655294536
44.3675,-71.545,1.655294536
40.17639,-80.64722,1.661324773
40.82167,-72.86889,1.661324773
46.1236,-67.7928,1.661324773
30.3361,-81.5147,1.664331698
30.8078,-81.4596,1.664331698
39.82333,-93.57917,1.664331698
39.8447,-89.6839,1.664331698
36.9033,-76.1922,1.6673332
39.3667,-75.0667,1.6673332
43.2718,-124.3186,1.670329309
46.3583,-104.25,1.670329309
36.5728,-79.3361,1.673320053
41.995,-87.9336,1.673320053
45.46222,-69.59528,1.676305461
47.4733,-111.3822,1.676305461
41.26389,-72.88722,1.679285562
34.27194,-83.83028,1.682260384
37.8891,-121.2258,1.682260384
41.91444,-88.24639,1.688194302
37.26222,-104.33778,1.691153453
29.3601,-99.1742,1.694107435
41.90972,-70.72944,1.694107435
44.93194,-93.05556,1.697056275
40.84361,-72.63222,1.7
39.4494,-74.5672,1.705872211
42.3606,-71.0106,1.705872211
46.1135,-92.9936,1.708800749
46.8946,-103.3769,1.708800749
36.93746,-76.28926,1.711724277
43.96361,-69.71167,1.711724277
39.59361,-84.22639,1.71464282
35.94028,-89.83083,1.720465053
33.4825,-90.98528,1.723368794
38.2901,-104.4983,1.723368794
35.8923,-78.7819,1.72626765
42.12083,-87.90472,1.72626765
30.23333,-81.66667,1.729161647
38.3794,-81.59,1.729161647
46.9601,-67.8833,1.729161647
36.695,-76.13556,1.732050808
30.533,-98.367,1.734935157
44.1278,-123.2206,1.740689519
33.7837,-83.3896,1.74642492
42.74611,-86.09667,1.74642492
32.69333,-100.95056,1.749285568
36.73667,-97.10194,1.749285568
36.28333,-94.3,1.752141547
38.18472,-84.90333,1.752141547
42.4401,-76.2462,1.757839583
33.5872,-85.8556,1.760681686
38.59111,-92.15583,1.763519209
36.36889,-92.47028,1.766352173
46.7702,-99.4778,1.766352173
38.22806,-85.66361,1.769180601
41.5333,-85.7833,1.769180601
42.23472,-85.55194,1.769180601
44.908,-84.7203,1.769180601
37.9975,-78.4656,1.772004515
40.41222,-86.93694,1.772004515
45.06194,-93.35083,1.774823935
41.56306,-83.47639,1.777638883
45.7115,-99.1296,1.777638883
35.93333,-79.06417,1.780449381
30.35028,-81.88306,1.78605711
33.875,-84.30222,1.788854382
37.7592,-119.8208,1.788854382
30.4,-81.41667,1.791647287
40.87306,-81.88667,1.794435844
40.89417,-97.62583,1.794435844
41.3375,-84.42889,1.794435844
36.81667,-76.03333,1.8
25.9141,-97.423,1.805547009
37.0563,-88.7744,1.805547009
40.78333,-91.12528,1.805547009
33.46694,-82.03861,1.808314132
40.03972,-88.27778,1.808314132
40.97806,-124.10861,1.808314132
41.25306,-70.06083,1.808314132
42.2667,-84.4667,1.808314132
37.74611,-97.22111,1.816590212
45.516,-103.3017,1.816590212
34.7728,-87.6399,1.81934054
38.0408,-84.6058,1.81934054
43.06417,-108.45889,1.81934054
31.5358,-82.5067,1.822086716
